Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
KiKit_MB_5_4,NPTH,NPTH,7.000004,-67.388886,0.0,top
KiKit_MB_6_1,NPTH,NPTH,7.000003,-82.766663,0.0,top
KiKit_MB_6_2,NPTH,NPTH,7.000003,-81.766663,0.0,top
KiKit_MB_6_3,NPTH,NPTH,7.000003,-80.766663,0.0,top
KiKit_MB_6_4,NPTH,NPTH,7.000003,-79.766663,0.0,top
KiKit_MB_7_1,NPTH,NPTH,7.000002,-95.144441,0.0,top
KiKit_MB_7_2,NPTH,NPTH,7.000002,-94.144441,0.0,top
KiKit_MB_7_3,NPTH,NPTH,7.000002,-93.144441,0.0,top
KiKit_MB_7_4,NPTH,NPTH,7.000002,-92.144441,0.0,top
KiKit_MB_8_1,NPTH,NPTH,7.0,-107.522218,0.0,top
KiKit_MB_8_2,NPTH,NPTH,7.0,-106.522218,0.0,top
KiKit_MB_8_3,NPTH,NPTH,7.000001,-105.522218,0.0,top
KiKit_MB_8_4,NPTH,NPTH,7.000001,-104.522218,0.0,top
KiKit_MB_9_1,NPTH,NPTH,37.999994,-17.877777,0.0,top
KiKit_MB_9_2,NPTH,NPTH,37.999994,-18.877777,0.0,top
KiKit_MB_9_3,NPTH,NPTH,37.999994,-19.877777,0.0,top
KiKit_MB_9_4,NPTH,NPTH,37.999994,-20.877777,0.0,top
KiKit_MB_10_1,NPTH,NPTH,37.999995,-30.255554,0.0,top
KiKit_MB_10_2,NPTH,NPTH,37.999995,-31.255554,0.0,top
KiKit_MB_10_3,NPTH,NPTH,37.999995,-32.255554,0.0,top
KiKit_MB_10_4,NPTH,NPTH,37.999996,-33.255554,0.0,top
KiKit_MB_11_1,NPTH,NPTH,37.999997,-42.633332,0.0,top
KiKit_MB_11_2,NPTH,NPTH,37.999997,-43.633332,0.0,top
KiKit_MB_11_3,NPTH,NPTH,37.999997,-44.633332,0.0,top
KiKit_MB_11_4,NPTH,NPTH,37.999997,-45.633332,0.0,top
KiKit_MB_12_1,NPTH,NPTH,37.999998,-55.011109,0.0,top
KiKit_MB_12_2,NPTH,NPTH,37.999998,-56.011109,0.0,top
KiKit_MB_12_3,NPTH,NPTH,37.999998,-57.011109,0.0,top
KiKit_MB_12_4,NPTH,NPTH,37.999998,-58.011109,0.0,top
KiKit_MB_13_1,NPTH,NPTH,38.0,-67.388886,0.0,top
KiKit_MB_13_2,NPTH,NPTH,38.0,-68.388886,0.0,top
KiKit_MB_13_3,NPTH,NPTH,38.0,-69.388886,0.0,top
KiKit_MB_13_4,NPTH,NPTH,38.0,-70.388886,0.0,top
KiKit_MB_14_1,NPTH,NPTH,38.000001,-79.766663,0.0,top
KiKit_MB_14_2,NPTH,NPTH,38.000001,-80.766663,0.0,top
KiKit_MB_14_3,NPTH,NPTH,38.000001,-81.766663,0.0,top
KiKit_MB_14_4,NPTH,NPTH,38.000001,-82.766663,0.0,top
KiKit_MB_15_1,NPTH,NPTH,38.000002,-92.144441,0.0,top
KiKit_MB_15_2,NPTH,NPTH,38.000003,-93.144441,0.0,top
KiKit_MB_15_3,NPTH,NPTH,38.000003,-94.144441,0.0,top
KiKit_MB_15_4,NPTH,NPTH,38.000003,-95.144441,0.0,top
KiKit_MB_16_1,NPTH,NPTH,38.000004,-104.522218,0.0,top
KiKit_MB_16_2,NPTH,NPTH,38.000004,-105.522218,0.0,top
KiKit_MB_16_3,NPTH,NPTH,38.000004,-106.522218,0.0,top
KiKit_MB_16_4,NPTH,NPTH,38.000004,-107.522218,0.0,top
KiKit_MB_17_1,NPTH,NPTH,15.833335,-7.0,0.0,top
KiKit_MB_17_2,NPTH,NPTH,16.833335,-7.0,0.0,top
KiKit_MB_17_3,NPTH,NPTH,17.833335,-7.0,0.0,top
KiKit_MB_17_4,NPTH,NPTH,18.833335,-7.0,0.0,top
KiKit_MB_18_1,NPTH,NPTH,26.16667,-7.000001,0.0,top
KiKit_MB_18_2,NPTH,NPTH,27.16667,-7.000001,0.0,top
KiKit_MB_18_3,NPTH,NPTH,28.16667,-7.000001,0.0,top
KiKit_MB_18_4,NPTH,NPTH,29.16667,-7.000001,0.0,top
