Ref,Val,Package,PosX,PosY,Rot,Side
"N42","~","SK6805-EC14",60.923009,-23.335000,0.000000,top
"N42","~","SK6805-EC14",25.923009,-23.335000,0.000000,top
"N43","~","SK6805-EC14",29.346009,-23.335000,0.000000,top
"N43","~","SK6805-EC14",64.346009,-23.335000,0.000000,top
"N44","~","SK6805-EC14",67.769009,-23.335000,0.000000,top
"N44","~","SK6805-EC14",32.769009,-23.335000,0.000000,top
"N45","~","SK6805-EC14",71.192009,-23.335000,0.000000,top
"N45","~","SK6805-EC14",36.192009,-23.335000,0.000000,top
"N46","~","SK6805-EC14",43.808009,-26.758000,0.000000,top
"N46","~","SK6805-EC14",8.808009,-26.758000,0.000000,top
"N47","~","SK6805-EC14",12.231009,-26.758000,0.000000,top
"N47","~","SK6805-EC14",47.231009,-26.758000,0.000000,top
"N48","~","SK6805-EC14",15.654009,-26.758000,0.000000,top
"N48","~","SK6805-EC14",50.654009,-26.758000,0.000000,top
"N49","~","SK6805-EC14",54.077009,-26.758000,0.000000,top
"N49","~","SK6805-EC14",19.077009,-26.758000,0.000000,top
"N50","~","SK6805-EC14",22.500009,-26.758000,0.000000,top
"N50","~","SK6805-EC14",57.500009,-26.758000,0.000000,top
"N51","~","SK6805-EC14",25.923009,-26.758000,0.000000,top
"N51","~","SK6805-EC14",60.923009,-26.758000,0.000000,top
"N52","~","SK6805-EC14",29.346009,-26.758000,0.000000,top
"N52","~","SK6805-EC14",64.346009,-26.758000,0.000000,top
"N53","~","SK6805-EC14",67.769009,-26.758000,0.000000,top
"N53","~","SK6805-EC14",32.769009,-26.758000,0.000000,top
"N54","~","SK6805-EC14",71.192009,-26.758000,0.000000,top
"N54","~","SK6805-EC14",36.192009,-26.758000,0.000000,top
"N55","~","SK6805-EC14",43.808009,-30.181000,0.000000,top
"N55","~","SK6805-EC14",8.808009,-30.181000,0.000000,top
"N56","~","SK6805-EC14",47.231009,-30.181000,0.000000,top
"N56","~","SK6805-EC14",12.231009,-30.181000,0.000000,top
"N57","~","SK6805-EC14",15.654009,-30.181000,0.000000,top
"N57","~","SK6805-EC14",50.654009,-30.181000,0.000000,top
"N58","~","SK6805-EC14",54.077009,-30.181000,0.000000,top
"N58","~","SK6805-EC14",19.077009,-30.181000,0.000000,top
"N59","~","SK6805-EC14",22.500009,-30.181000,0.000000,top
"N59","~","SK6805-EC14",57.500009,-30.181000,0.000000,top
"N60","~","SK6805-EC14",25.923009,-30.181000,0.000000,top
"N60","~","SK6805-EC14",60.923009,-30.181000,0.000000,top
"N61","~","SK6805-EC14",64.346009,-30.181000,0.000000,top
"N61","~","SK6805-EC14",29.346009,-30.181000,0.000000,top
"N62","~","SK6805-EC14",32.769009,-30.181000,0.000000,top
"N62","~","SK6805-EC14",67.769009,-30.181000,0.000000,top
"N63","~","SK6805-EC14",36.192009,-30.181000,0.000000,top
"N63","~","SK6805-EC14",71.192009,-30.181000,0.000000,top
"N64","~","SK6805-EC14",8.808009,-33.604000,0.000000,top
"N64","~","SK6805-EC14",43.808009,-33.604000,0.000000,top
"N65","~","SK6805-EC14",47.231009,-33.604000,0.000000,top
"N65","~","SK6805-EC14",12.231009,-33.604000,0.000000,top
"N66","~","SK6805-EC14",15.654009,-33.604000,0.000000,top
"N66","~","SK6805-EC14",50.654009,-33.604000,0.000000,top
"N67","~","SK6805-EC14",19.077009,-33.604000,0.000000,top
"N67","~","SK6805-EC14",54.077009,-33.604000,0.000000,top
"N68","~","SK6805-EC14",57.500009,-33.604000,0.000000,top
"N68","~","SK6805-EC14",22.500009,-33.604000,0.000000,top
"N69","~","SK6805-EC14",60.923009,-33.604000,0.000000,top
"N69","~","SK6805-EC14",25.923009,-33.604000,0.000000,top
"N70","~","SK6805-EC14",29.346009,-33.604000,0.000000,top
"N70","~","SK6805-EC14",64.346009,-33.604000,0.000000,top
"N71","~","SK6805-EC14",67.769009,-33.604000,0.000000,top
"N71","~","SK6805-EC14",32.769009,-33.604000,0.000000,top
"N72","~","SK6805-EC14",71.192009,-33.604000,0.000000,top
"N72","~","SK6805-EC14",36.192009,-33.604000,0.000000,top
"N73","~","SK6805-EC14",43.808009,-37.027000,0.000000,top
"N73","~","SK6805-EC14",8.808009,-37.027000,0.000000,top
"N74","~","SK6805-EC14",12.231009,-37.027000,0.000000,top
"N74","~","SK6805-EC14",47.231009,-37.027000,0.000000,top
"N75","~","SK6805-EC14",15.654009,-37.027000,0.000000,top
"N75","~","SK6805-EC14",50.654009,-37.027000,0.000000,top
"N76","~","SK6805-EC14",19.077009,-37.027000,0.000000,top
"N76","~","SK6805-EC14",54.077009,-37.027000,0.000000,top
"N77","~","SK6805-EC14",22.500009,-37.027000,0.000000,top
"N77","~","SK6805-EC14",57.500009,-37.027000,0.000000,top
"N78","~","SK6805-EC14",25.923009,-37.027000,0.000000,top
"N78","~","SK6805-EC14",60.923009,-37.027000,0.000000,top
"N79","~","SK6805-EC14",29.346009,-37.027000,0.000000,top
"N79","~","SK6805-EC14",64.346009,-37.027000,0.000000,top
"N80","~","SK6805-EC14",67.769009,-37.027000,0.000000,top
"N80","~","SK6805-EC14",32.769009,-37.027000,0.000000,top
"N81","~","SK6805-EC14",71.192009,-37.027000,0.000000,top
"N81","~","SK6805-EC14",36.192009,-37.027000,0.000000,top
"N82","~","SK6805-EC14",8.808009,-40.450000,0.000000,top
"N82","~","SK6805-EC14",43.808009,-40.450000,0.000000,top
"N83","~","SK6805-EC14",12.231009,-40.450000,0.000000,top
"N83","~","SK6805-EC14",47.231009,-40.450000,0.000000,top
"N84","~","SK6805-EC14",15.654009,-40.450000,0.000000,top
"N84","~","SK6805-EC14",50.654009,-40.450000,0.000000,top
"N85","~","SK6805-EC14",54.077009,-40.450000,0.000000,top
"N85","~","SK6805-EC14",19.077009,-40.450000,0.000000,top
"N86","~","SK6805-EC14",22.500009,-40.450000,0.000000,top
"N86","~","SK6805-EC14",57.500009,-40.450000,0.000000,top
"N87","~","SK6805-EC14",60.923009,-40.450000,0.000000,top
"N87","~","SK6805-EC14",25.923009,-40.450000,0.000000,top
"N88","~","SK6805-EC14",29.346009,-40.450000,0.000000,top
"N88","~","SK6805-EC14",64.346009,-40.450000,0.000000,top
"N89","~","SK6805-EC14",32.769009,-40.450000,0.000000,top
"N89","~","SK6805-EC14",67.769009,-40.450000,0.000000,top
"N90","~","SK6805-EC14",71.192009,-40.450000,0.000000,top
"N90","~","SK6805-EC14",36.192009,-40.450000,0.000000,top
"N91","~","SK6805-EC14",8.808009,-43.873000,0.000000,top
"N91","~","SK6805-EC14",43.808009,-43.873000,0.000000,top
"N92","~","SK6805-EC14",47.231009,-43.873000,0.000000,top
"N92","~","SK6805-EC14",12.231009,-43.873000,0.000000,top
"N93","~","SK6805-EC14",50.654009,-43.873000,0.000000,top
"N93","~","SK6805-EC14",15.654009,-43.873000,0.000000,top
"N94","~","SK6805-EC14",19.077009,-43.873000,0.000000,top
"N94","~","SK6805-EC14",54.077009,-43.873000,0.000000,top
"N95","~","SK6805-EC14",57.500009,-43.873000,0.000000,top
"N95","~","SK6805-EC14",22.500009,-43.873000,0.000000,top
"N96","~","SK6805-EC14",60.923009,-43.873000,0.000000,top
"N96","~","SK6805-EC14",25.923009,-43.873000,0.000000,top
"N97","~","SK6805-EC14",64.346009,-43.873000,0.000000,top
"N97","~","SK6805-EC14",29.346009,-43.873000,0.000000,top
"N98","~","SK6805-EC14",67.769009,-43.873000,0.000000,top
"N98","~","SK6805-EC14",32.769009,-43.873000,0.000000,top
