Ref,Val,Package,PosX,PosY,Rot,Side
"R6","27","R_0402_1005Metric",69.830009,-95.173000,180.000000,bottom
"R7","180k","R_0402_1005Metric",52.232902,-111.049892,180.000000,bottom
"R7","180k","R_0402_1005Metric",17.232902,-111.049892,180.000000,bottom
"R8","10k","R_0402_1005Metric",10.042902,-104.909892,90.000000,bottom
"R8","10k","R_0402_1005Metric",45.042902,-104.909892,90.000000,bottom
"R9","470","R_0402_1005Metric",45.390009,-93.500000,180.000000,bottom
"R9","470","R_0402_1005Metric",10.390009,-93.500000,180.000000,bottom
"R10","470","R_0402_1005Metric",15.350009,-93.903000,90.000000,bottom
"R10","470","R_0402_1005Metric",50.350009,-93.903000,90.000000,bottom
"R11","470","R_0402_1005Metric",14.100008,-96.909999,-90.000000,bottom
"R11","470","R_0402_1005Metric",49.100008,-96.909999,-90.000000,bottom
"R12","470","R_0402_1005Metric",10.950009,-98.320000,180.000000,bottom
"R12","470","R_0402_1005Metric",45.950009,-98.320000,180.000000,bottom
"R13","470","R_0402_1005Metric",10.152902,-99.719892,180.000000,bottom
"R13","470","R_0402_1005Metric",45.152902,-99.719892,180.000000,bottom
"R14","470","R_0402_1005Metric",48.970008,-100.585000,90.000000,bottom
"R14","470","R_0402_1005Metric",13.970008,-100.585000,90.000000,bottom
"R15","470","R_0402_1005Metric",13.970008,-103.005000,-90.000000,bottom
"R15","470","R_0402_1005Metric",48.970008,-103.005000,-90.000000,bottom
"R16","470","R_0402_1005Metric",47.692902,-104.989892,-90.000000,bottom
"R16","470","R_0402_1005Metric",12.692902,-104.989892,-90.000000,bottom
"R24","10k","R_0402_1005Metric",9.882902,-91.879892,180.000000,bottom
"R24","10k","R_0402_1005Metric",44.882902,-91.879892,180.000000,bottom
"SW1","A6H-2101","SW_A6H-2101_OMR",66.667902,-108.514892,180.000000,bottom
"SW1","A6H-2101","SW_A6H-2101_OMR",31.667902,-108.514892,180.000000,bottom
"U1","W25Q16JVUXIQ ","SON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm",69.407509,-100.643000,0.000000,bottom
"U1","W25Q16JVUXIQ ","SON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm",34.407509,-100.643000,0.000000,bottom
"U2","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",27.500009,-98.300000,90.000000,bottom
"U2","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",62.500009,-98.300000,90.000000,bottom
"U3","74AHC125BQ_115","QFN50P300X250X100-15N",11.500009,-95.900000,-90.000000,bottom
"U3","74AHC125BQ_115","QFN50P300X250X100-15N",46.500009,-95.900000,-90.000000,bottom
"U4","74AHC125BQ_115","QFN50P300X250X100-15N",11.300009,-102.095000,-90.000000,bottom
"U4","74AHC125BQ_115","QFN50P300X250X100-15N",46.300009,-102.095000,-90.000000,bottom
"Y1","12.000MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",53.864009,-98.935000,-90.000000,bottom
"Y1","12.000MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",18.864009,-98.935000,-90.000000,bottom
